****************************************
Report : power
        -cell
        -analysis_effort low
        -sort_mode cell_internal_power
Design : sipisoAluControl_generic
Version: Z-2007.03-SP1
Date   : Mon Apr 25 12:46:27 2016
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /home/mariagrazia.graziano/do/libnangate/NangateOpenCellLibrary_typical_ecsm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
sipisoAluControl_generic
                       5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      h  -  Hierarchical cell

                        Cell      Driven Net  Tot Dynamic      Cell
                        Internal  Switching   Power            Leakage
Cell                    Power     Power       (% Cell/Tot)     Power      Attrs
--------------------------------------------------------------------------------
U208                       0.1517    0.0376      0.189 (80%)     23.2190   
U209                       0.1517    0.0376      0.189 (80%)     23.2190   
U210                       0.1517    0.0376      0.189 (80%)     23.2190   
U211                       0.1517    0.0376      0.189 (80%)     23.2190   
U212                       0.1517    0.0376      0.189 (80%)     23.2190   
U213                       0.1517    0.0376      0.189 (80%)     23.2190   
U214                       0.1517    0.0376      0.189 (80%)     23.2190   
U215                       0.1517    0.0376      0.189 (80%)     23.2190   
U216                       0.1517    0.0376      0.189 (80%)     23.2190   
U217                       0.1517    0.0376      0.189 (80%)     23.2190   
U218                       0.1517    0.0376      0.189 (80%)     23.2190   
U219                       0.1517    0.0376      0.189 (80%)     23.2190   
U220                       0.1517    0.0376      0.189 (80%)     23.2190   
U221                       0.1517    0.0376      0.189 (80%)     23.2190   
U222                       0.1517    0.0376      0.189 (80%)     23.2190   
U223                       0.1517    0.0376      0.189 (80%)     23.2190   
U224                       0.1517    0.0376      0.189 (80%)     23.2190   
U225                       0.1517    0.0376      0.189 (80%)     23.2190   
U226                       0.1517    0.0376      0.189 (80%)     23.2190   
U227                       0.1517    0.0376      0.189 (80%)     23.2190   
U228                       0.1517    0.0376      0.189 (80%)     23.2190   
U229                       0.1517    0.0376      0.189 (80%)     23.2190   
U230                       0.1517    0.0376      0.189 (80%)     23.2190   
U231                       0.1517    0.0376      0.189 (80%)     23.2190   
U238                       0.1400    0.0443      0.184 (76%)     21.4388   
r90                        0.1133       N/A        N/A (N/A)   1438.6642  h
U233                       0.1071    0.0432      0.150 (71%)     19.6089   
U426                       0.1064    0.0102      0.117 (91%)     42.5462   
U425                       0.1032    0.0708      0.174 (59%)     33.5145   
U480                       0.0941    0.2321      0.326 (29%)      6.0395   
U478                       0.0912    0.2071      0.298 (31%)     17.3053   
U479                       0.0902    0.1501      0.240 (38%)     37.1073   
U160                       0.0901    2.0273      2.117 (4%)      24.3495   
U441                       0.0862    0.2016      0.288 (30%)     16.5693   
U438                       0.0840    0.0634      0.147 (57%)     33.9643   
U168                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
